one,in,R1,X1,X2,X3,X4,X5,X6,Y1
1,1,0,-2,-0.525509180131476,-0.74555979027524,1.82558666578966,1.84697012244806,1.19458693232203,2.11462277343368
1,1,0,-1,-0.525509180131476,-0.74555979027524,1.82558666578966,1.84697012244806,1.19458693232203,1.46910689412149
1,1,0,0,-0.525509180131476,-0.74555979027524,1.82558666578966,1.84697012244806,1.19458693232203,1.53970763931037
1,1,0,1,-0.525509180131476,-0.74555979027524,1.82558666578966,1.84697012244806,1.19458693232203,27.2843392156666
1,1,0,2,-0.525509180131476,-0.74555979027524,1.82558666578966,1.84697012244806,1.19458693232203,9.78135040661694
1,2,1,-2,-0.00585033908061967,0.771612430867628,-0.578347060662414,1.04645106930376,1.45411259932902,0.157426317945251
1,2,1,-1,-0.00585033908061967,0.771612430867628,-0.578347060662414,1.04645106930376,1.45411259932902,0.111429029858163
1,2,0,0,-0.00585033908061967,0.771612430867628,-0.578347060662414,1.04645106930376,1.45411259932902,0.314200150786999
1,2,0,1,-0.00585033908061967,0.771612430867628,-0.578347060662414,1.04645106930376,1.45411259932902,0.252148474273851
1,2,0,2,-0.00585033908061967,0.771612430867628,-0.578347060662414,1.04645106930376,1.45411259932902,3.19444397344831
1,3,0,-2,1.59042630781294,1.2307600549126,1.8569161929355,0.728507428274088,-0.268255483306602,2.76094032224279
1,3,1,-1,1.59042630781294,1.2307600549126,1.8569161929355,0.728507428274088,-0.268255483306602,3.6576173547908
1,3,1,0,1.59042630781294,1.2307600549126,1.8569161929355,0.728507428274088,-0.268255483306602,15.3743197306525
1,3,1,1,1.59042630781294,1.2307600549126,1.8569161929355,0.728507428274088,-0.268255483306602,1.4420283304155
1,3,1,2,1.59042630781294,1.2307600549126,1.8569161929355,0.728507428274088,-0.268255483306602,50.0398996956155
1,4,0,-2,-0.11741999064219,0.132269682002448,-0.325486968441583,-0.698325301344801,-0.1598861364226,0.0876163356127501
1,4,0,-1,-0.11741999064219,0.132269682002448,-0.325486968441583,-0.698325301344801,-0.1598861364226,0.129665586701508
1,4,0,0,-0.11741999064219,0.132269682002448,-0.325486968441583,-0.698325301344801,-0.1598861364226,0.856000820034165
1,4,1,1,-0.11741999064219,0.132269682002448,-0.325486968441583,-0.698325301344801,-0.1598861364226,0.48460798758614
1,4,0,2,-0.11741999064219,0.132269682002448,-0.325486968441583,-0.698325301344801,-0.1598861364226,0.800281462172453
1,5,0,-2,-0.556090756992909,-0.153440107725884,-0.205673594847859,-0.036838843565799,-1.27311571383868,0.00702021395188581
