one,in,R1,X1,X2,X3,X4,X5,X6,Y1
1,1,0,-2,1.00198065845041,-1.06274077755746,-0.261233946200514,1.0652238716061,0.310983975616351,0.438313213690765
1,1,1,-1,1.00198065845041,-1.06274077755746,-0.261233946200514,1.0652238716061,0.310983975616351,0.314460144958316
1,1,1,0,1.00198065845041,-1.06274077755746,-0.261233946200514,1.0652238716061,0.310983975616351,0.594638818703957
1,1,0,1,1.00198065845041,-1.06274077755746,-0.261233946200514,1.0652238716061,0.310983975616351,1.5788839975737
1,1,1,2,1.00198065845041,-1.06274077755746,-0.261233946200514,1.0652238716061,0.310983975616351,41.3297144826014
1,2,0,-2,-0.654984266937759,-1.89746034858021,-1.8506099499939,-1.0108140719194,0.601722791900912,0.165936857782397
1,2,0,-1,-0.654984266937759,-1.89746034858021,-1.8506099499939,-1.0108140719194,0.601722791900912,0.113685837616102
1,2,1,0,-0.654984266937759,-1.89746034858021,-1.8506099499939,-1.0108140719194,0.601722791900912,0.100113187840734
1,2,0,1,-0.654984266937759,-1.89746034858021,-1.8506099499939,-1.0108140719194,0.601722791900912,0.238872030623808
1,2,1,2,-0.654984266937759,-1.89746034858021,-1.8506099499939,-1.0108140719194,0.601722791900912,0.354099741130991
1,3,0,-2,-0.61084264859374,0.261713592161635,-0.863264865677654,1.06968901620024,0.094636157496413,0.208532553496521
1,3,1,-1,-0.61084264859374,0.261713592161635,-0.863264865677654,1.06968901620024,0.094636157496413,0.248801227477222
1,3,0,0,-0.61084264859374,0.261713592161635,-0.863264865677654,1.06968901620024,0.094636157496413,2.42120136514966
1,3,0,1,-0.61084264859374,0.261713592161635,-0.863264865677654,1.06968901620024,0.094636157496413,0.607135710368878
1,3,1,2,-0.61084264859374,0.261713592161635,-0.863264865677654,1.06968901620024,0.094636157496413,1.96543820300507
1,4,1,-2,-0.406541293626585,0.582211447905125,0.913220956839761,0.554953784859241,1.23043559237912,2.03705183571104
1,4,1,-1,-0.406541293626585,0.582211447905125,0.913220956839761,0.554953784859241,1.23043559237912,1.31425124139329
1,4,0,0,-0.406541293626585,0.582211447905125,0.913220956839761,0.554953784859241,1.23043559237912,2.51406199870218
1,4,1,1,-0.406541293626585,0.582211447905125,0.913220956839761,0.554953784859241,1.23043559237912,0.702582587899981
1,4,1,2,-0.406541293626585,0.582211447905125,0.913220956839761,0.554953784859241,1.23043559237912,3.90155418381785
1,5,0,-2,-0.594063009920136,-1.52527133353679,-0.493119196718944,-0.161849162193736,-0.0822307170633164,4.28230574893152
1,5,0,-1,-0.594063009920136,-1.52527133353679,-0.493119196718944,-0.161849162193736,-0.0822307170633164,3.54780293424962
1,5,0,0,-0.594063009920136,-1.52527133353679,-0.493119196718944,-0.161849162193736,-0.0822307170633164,1.04642146402599
